id,matricule,nom,prenom,dateNaissance,email,promotion,
1,ENSAT001,Brown,Riley,2005-10-18,riley.brown@ensat.ac.ma,2021,
2,ENSAT002,Cox,Mindy,1999-01-23,mindy.cox@ensat.ac.ma,2024,
3,ENSAT003,Taylor,Matthew,2000-09-27,matthew.taylor@ensat.ac.ma,2020,
4,ENSAT004,Jones,Michael,2004-08-16,michael.jones@ensat.ac.ma,2020,
5,ENSAT005,Jones,Gregory,2004-04-05,gregory.jones@ensat.ac.ma,2023,
6,ENSAT006,Hall,Angela,2001-06-08,angela.hall@ensat.ac.ma,2020,
7,ENSAT007,Huber,Vincent,2005-08-04,vincent.huber@ensat.ac.ma,2024,
8,ENSAT008,Gray,Connie,2000-10-30,connie.gray@ensat.ac.ma,2020,
9,ENSAT009,Murray,Annette,2002-12-22,annette.murray@ensat.ac.ma,2021,
10,ENSAT010,Wagner,Robin,2006-08-09,robin.wagner@ensat.ac.ma,2022,
11,ENSAT011,Gonzalez,Theresa,2004-03-03,theresa.gonzalez@ensat.ac.ma,2020,
12,ENSAT012,Edwards,Jennifer,2004-12-05,jennifer.edwards@ensat.ac.ma,2022,
13,ENSAT013,Rivas,Christine,2006-06-02,christine.rivas@ensat.ac.ma,2023,
14,ENSAT014,Norton,Lisa,2002-08-10,lisa.norton@ensat.ac.ma,2020,
15,ENSAT015,Goodwin,Deborah,1999-11-28,deborah.goodwin@ensat.ac.ma,2025,
16,ENSAT016,Stewart,Robert,2001-01-12,robert.stewart@ensat.ac.ma,2021,
17,ENSAT017,Anderson,Pamela,2006-12-15,pamela.anderson@ensat.ac.ma,2020,
18,ENSAT018,Brooks,Paul,2003-10-04,paul.brooks@ensat.ac.ma,2020,
19,ENSAT019,Mcclure,Jennifer,2004-11-27,jennifer.mcclure@ensat.ac.ma,2021,
20,ENSAT020,Caldwell,Laura,1999-08-01,laura.caldwell@ensat.ac.ma,2024,
21,ENSAT021,Marsh,Mary,2000-07-23,mary.marsh@ensat.ac.ma,2020,
22,ENSAT022,Lee,Matthew,2006-04-03,matthew.lee@ensat.ac.ma,2020,
23,ENSAT023,Blanchard,Debra,2006-09-15,debra.blanchard@ensat.ac.ma,2020,
24,ENSAT024,Abbott,Kristin,2003-09-01,kristin.abbott@ensat.ac.ma,2025,
25,ENSAT025,Montgomery,Michael,2000-05-24,michael.montgomery@ensat.ac.ma,2021,
26,ENSAT026,Howard,Robert,2001-07-21,robert.howard@ensat.ac.ma,2020,
27,ENSAT027,Michael,Keith,2001-09-28,keith.michael@ensat.ac.ma,2022,
28,ENSAT028,Patterson,George,2002-11-04,george.patterson@ensat.ac.ma,2020,
29,ENSAT029,Byrd,Elizabeth,2000-03-09,elizabeth.byrd@ensat.ac.ma,2025,
30,ENSAT030,Ortiz,Tina,2001-12-30,tina.ortiz@ensat.ac.ma,2022,
31,ENSAT031,Stewart,Anthony,2006-07-22,anthony.stewart@ensat.ac.ma,2021,
32,ENSAT032,Padilla,Heather,2001-10-08,heather.padilla@ensat.ac.ma,2021,
33,ENSAT033,Ortega,David,2006-10-21,david.ortega@ensat.ac.ma,2024,
34,ENSAT034,Roberts,Christina,1999-10-19,christina.roberts@ensat.ac.ma,2024,
35,ENSAT035,Hale,Monique,2003-09-07,monique.hale@ensat.ac.ma,2020,
36,ENSAT036,Sawyer,Cheryl,1999-02-21,cheryl.sawyer@ensat.ac.ma,2023,
37,ENSAT037,Gibson,Cameron,1999-08-25,cameron.gibson@ensat.ac.ma,2020,
38,ENSAT038,Harris,Rose,2005-10-06,rose.harris@ensat.ac.ma,2023,
39,ENSAT039,Bartlett,James,2002-02-28,james.bartlett@ensat.ac.ma,2020,
40,ENSAT040,Smith,Heather,2006-03-26,heather.smith@ensat.ac.ma,2022,
41,ENSAT041,Gregory,Matthew,1999-07-04,matthew.gregory@ensat.ac.ma,2022,
42,ENSAT042,Cooper,Robert,2005-03-28,robert.cooper@ensat.ac.ma,2020,
43,ENSAT043,Estrada,Samantha,2006-08-14,samantha.estrada@ensat.ac.ma,2021,
44,ENSAT044,Steele,Donna,2003-01-18,donna.steele@ensat.ac.ma,2020,
45,ENSAT045,Ferrell,Emily,2001-09-03,emily.ferrell@ensat.ac.ma,2024,
46,ENSAT046,Smith,Andrew,2002-12-17,andrew.smith@ensat.ac.ma,2022,
47,ENSAT047,Tucker,Adam,2001-02-07,adam.tucker@ensat.ac.ma,2022,
48,ENSAT048,Fox,Emily,2006-11-01,emily.fox@ensat.ac.ma,2020,
49,ENSAT049,Gray,Robert,2006-03-25,robert.gray@ensat.ac.ma,2020,
50,ENSAT050,Woods,Ashley,2001-08-02,ashley.woods@ensat.ac.ma,2025,
51,ENSAT051,Armstrong,Adam,2006-04-29,adam.armstrong@ensat.ac.ma,2025,
52,ENSAT052,Schmidt,Ashley,2006-11-24,ashley.schmidt@ensat.ac.ma,2024,
53,ENSAT053,Martin,Gregory,2000-07-07,gregory.martin@ensat.ac.ma,2022,
54,ENSAT054,Chavez,Alex,2005-07-10,alex.chavez@ensat.ac.ma,2020,
55,ENSAT055,Williams,William,2006-06-29,william.williams@ensat.ac.ma,2023,
56,ENSAT056,Washington,Joseph,2004-07-25,joseph.washington@ensat.ac.ma,2021,
57,ENSAT057,Walton,Lisa,2001-11-16,lisa.walton@ensat.ac.ma,2020,
58,ENSAT058,Gilbert,Amy,2004-05-20,amy.gilbert@ensat.ac.ma,2025,
59,ENSAT059,Garcia,George,2004-09-18,george.garcia@ensat.ac.ma,2023,
60,ENSAT060,Pearson,Diana,2002-10-22,diana.pearson@ensat.ac.ma,2024,
61,ENSAT061,Washington,Timothy,2002-08-11,timothy.washington@ensat.ac.ma,2023,
62,ENSAT062,Perez,Laura,1999-05-26,laura.perez@ensat.ac.ma,2025,
63,ENSAT063,Johnson,Sarah,2005-04-06,sarah.johnson@ensat.ac.ma,2024,
64,ENSAT064,Murphy,Todd,2004-02-27,todd.murphy@ensat.ac.ma,2023,
65,ENSAT065,Matthews,Amanda,2000-09-12,amanda.matthews@ensat.ac.ma,2021,
66,ENSAT066,Villegas,Kimberly,2006-06-20,kimberly.villegas@ensat.ac.ma,2021,
67,ENSAT067,Lee,Eric,2001-07-03,eric.lee@ensat.ac.ma,2023,
68,ENSAT068,Ferguson,Jaclyn,2002-09-19,jaclyn.ferguson@ensat.ac.ma,2023,
69,ENSAT069,Harrell,Cindy,1999-11-25,cindy.harrell@ensat.ac.ma,2021,
70,ENSAT070,Barajas,Jonathan,2000-11-05,jonathan.barajas@ensat.ac.ma,2024,
71,ENSAT071,Brown,Sarah,2005-12-25,sarah.brown@ensat.ac.ma,2025,
72,ENSAT072,Sanders,Kelsey,2004-10-01,kelsey.sanders@ensat.ac.ma,2025,
73,ENSAT073,Gould,Robert,2003-07-21,robert.gould@ensat.ac.ma,2022,
74,ENSAT074,Burns,Dan,2002-08-04,dan.burns@ensat.ac.ma,2023,
75,ENSAT075,Howard,Melissa,2006-08-22,melissa.howard@ensat.ac.ma,2024,
76,ENSAT076,Kirby,Raymond,2005-12-16,raymond.kirby@ensat.ac.ma,2021,
77,ENSAT077,Waller,Robert,2001-03-22,robert.waller@ensat.ac.ma,2021,
78,ENSAT078,Smith,Sara,2002-02-14,sara.smith@ensat.ac.ma,2024,
79,ENSAT079,Lewis,Levi,2002-03-11,levi.lewis@ensat.ac.ma,2023,
80,ENSAT080,Valencia,Robert,2003-12-28,robert.valencia@ensat.ac.ma,2023,
81,ENSAT081,Coleman,John,2004-07-13,john.coleman@ensat.ac.ma,2024,
82,ENSAT082,Soto,Jessica,2004-06-21,jessica.soto@ensat.ac.ma,2023,
83,ENSAT083,Estrada,Lucas,1999-02-22,lucas.estrada@ensat.ac.ma,2025,
84,ENSAT084,Clark,Kenneth,2000-10-27,kenneth.clark@ensat.ac.ma,2021,
85,ENSAT085,Turner,Christopher,2000-05-11,christopher.turner@ensat.ac.ma,2022,
